area_type,availability,location,size,price
Super built-up  Area,Ready To Move,Kalkere,2 BHK,55.0
Plot  Area,Ready To Move,Kodigehalli,2 Bedroom,55.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,74.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,79.0
Super built-up  Area,18-May,Mico Layout,3 BHK,44.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,26.0
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,79.55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,65.1
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,52.04
Super built-up  Area,18-May,Ramagondanahalli,3 BHK,63.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,56.55
Super built-up  Area,18-Aug,Chandapura,1 BHK,16.45
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,75.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,74.4
Super built-up  Area,18-Apr,Sai Gardens,2 BHK,40.0
Built-up  Area,Ready To Move,Mallappa Layout,3 BHK,75.0
Super built-up  Area,18-May,Dominic Layout,3 BHK,39.14
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,68.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,42.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,53.6
Built-up  Area,Ready To Move,Pattanagere,2 BHK,35.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,48.42
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,55.0
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,3 BHK,58.25
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,46.0
Super built-up  Area,Ready To Move,Seegehalli,2 BHK,50.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,40.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,35.84
Super built-up  Area,Ready To Move,Kambipura,2 BHK,37.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,46.0
Plot  Area,Ready To Move,Moodalapalya,1 Bedroom,48.0
Built-up  Area,Ready To Move,Nagavara,2 BHK,40.2
Super built-up  Area,Ready To Move,Singasandra,3 BHK,56.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,45.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,47.0
